,날짜,전국,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,세종,경북,경남,제주
274,05-21,0.048,0.047,0.045,0.047,0.048,0.047,0.047,0.045,0.049,0.054,0.048,0.051,0.050,0.044,0.045,0.050,0.044,0.049
275,05-20,0.045,0.046,0.047,0.045,0.046,0.045,0.041,0.044,0.045,0.043,0.043,0.048,0.047,0.043,0.040,0.040,0.041,0.050
276,05-19,0.044,0.044,0.047,0.042,0.046,0.039,0.044,0.047,0.043,0.044,0.046,0.049,0.042,0.040,0.041,0.045,0.041,0.050
277,05-18,0.039,0.033,0.040,0.040,0.033,0.046,0.038,0.034,0.034,0.041,0.040,0.041,0.042,0.044,0.036,0.042,0.037,0.055
278,05-17,0.050,0.044,0.048,0.059,0.043,0.052,0.048,0.052,0.046,0.059,0.051,0.053,0.053,0.047,0.046,0.060,0.048,0.054
279,05-16,0.066,0.074,0.068,0.075,0.078,0.058,0.056,0.059,0.070,0.076,0.062,0.070,0.061,0.056,0.055,0.066,0.066,0.058
280,05-22,0.034,0.033,0.029,0.036,0.032,0.029,0.033,0.037,0.032,0.040,0.036,0.037,0.034,0.034,0.031,0.037,0.034,0.044
281,05-21,0.048,0.047,0.045,0.047,0.048,0.047,0.047,0.045,0.049,0.054,0.048,0.051,0.050,0.044,0.045,0.050,0.044,0.049
282,05-20,0.045,0.046,0.047,0.045,0.046,0.045,0.041,0.044,0.045,0.043,0.043,0.048,0.047,0.043,0.040,0.040,0.041,0.050
283,05-19,0.044,0.044,0.047,0.042,0.046,0.039,0.044,0.047,0.043,0.044,0.046,0.049,0.042,0.040,0.041,0.045,0.041,0.050
284,05-18,0.039,0.033,0.040,0.040,0.033,0.046,0.038,0.034,0.034,0.041,0.040,0.041,0.042,0.044,0.036,0.042,0.037,0.055
285,05-17,0.050,0.044,0.048,0.059,0.043,0.052,0.048,0.052,0.046,0.059,0.051,0.053,0.053,0.047,0.046,0.060,0.048,0.054
286,05-16,0.066,0.074,0.068,0.075,0.078,0.058,0.056,0.059,0.070,0.076,0.062,0.070,0.061,0.056,0.055,0.066,0.066,0.058
287,05-22,0.034,0.033,0.029,0.036,0.032,0.029,0.033,0.037,0.032,0.040,0.036,0.037,0.034,0.034,0.031,0.037,0.034,0.044
288,05-21,0.048,0.047,0.045,0.047,0.048,0.047,0.047,0.045,0.049,0.054,0.048,0.051,0.050,0.044,0.045,0.050,0.044,0.049
289,05-20,0.045,0.046,0.047,0.045,0.046,0.045,0.041,0.044,0.045,0.043,0.043,0.048,0.047,0.043,0.040,0.040,0.041,0.050
290,05-19,0.044,0.044,0.047,0.042,0.046,0.039,0.044,0.047,0.043,0.044,0.046,0.049,0.042,0.040,0.041,0.045,0.041,0.050
291,05-18,0.039,0.033,0.040,0.040,0.033,0.046,0.038,0.034,0.034,0.041,0.040,0.041,0.042,0.044,0.036,0.042,0.037,0.055
292,05-17,0.050,0.044,0.048,0.059,0.043,0.052,0.048,0.052,0.046,0.059,0.051,0.053,0.053,0.047,0.046,0.060,0.048,0.054
293,05-16,0.066,0.074,0.068,0.075,0.078,0.058,0.056,0.059,0.070,0.076,0.062,0.070,0.061,0.056,0.055,0.066,0.066,0.058
294,05-22,0.034,0.033,0.029,0.036,0.032,0.029,0.033,0.037,0.032,0.040,0.036,0.037,0.034,0.034,0.031,0.037,0.034,0.044
295,05-21,0.048,0.047,0.045,0.047,0.048,0.047,0.047,0.045,0.049,0.054,0.048,0.051,0.050,0.044,0.045,0.050,0.044,0.049
296,05-20,0.045,0.046,0.047,0.045,0.046,0.045,0.041,0.044,0.045,0.043,0.043,0.048,0.047,0.043,0.040,0.040,0.041,0.050
297,05-19,0.044,0.044,0.047,0.042,0.046,0.039,0.044,0.047,0.043,0.044,0.046,0.049,0.042,0.040,0.041,0.045,0.041,0.050
298,05-18,0.039,0.033,0.040,0.040,0.033,0.046,0.038,0.034,0.034,0.041,0.040,0.041,0.042,0.044,0.036,0.042,0.037,0.055
299,05-17,0.050,0.044,0.048,0.059,0.043,0.052,0.048,0.052,0.046,0.059,0.051,0.053,0.053,0.047,0.046,0.060,0.048,0.054
300,05-16,0.066,0.074,0.068,0.075,0.078,0.058,0.056,0.059,0.070,0.076,0.062,0.070,0.061,0.056,0.055,0.066,0.066,0.058
301,05-22,0.034,0.033,0.029,0.036,0.032,0.029,0.033,0.037,0.032,0.040,0.036,0.037,0.034,0.034,0.031,0.037,0.034,0.044
302,05-21,0.048,0.047,0.045,0.047,0.048,0.047,0.047,0.045,0.049,0.054,0.048,0.051,0.050,0.044,0.045,0.050,0.044,0.049
303,05-20,0.045,0.046,0.047,0.045,0.046,0.045,0.041,0.044,0.045,0.043,0.043,0.048,0.047,0.043,0.040,0.040,0.041,0.050
304,05-19,0.044,0.044,0.047,0.042,0.046,0.039,0.044,0.047,0.043,0.044,0.046,0.049,0.042,0.040,0.041,0.045,0.041,0.050
305,05-18,0.039,0.033,0.040,0.040,0.033,0.046,0.038,0.034,0.034,0.041,0.040,0.041,0.042,0.044,0.036,0.042,0.037,0.055
306,05-17,0.050,0.044,0.048,0.059,0.043,0.052,0.048,0.052,0.046,0.059,0.051,0.053,0.053,0.047,0.046,0.060,0.048,0.054
307,05-16,0.066,0.074,0.068,0.075,0.078,0.058,0.056,0.059,0.070,0.076,0.062,0.070,0.061,0.056,0.055,0.066,0.066,0.058
308,05-22,0.034,0.033,0.029,0.036,0.032,0.029,0.033,0.037,0.032,0.040,0.036,0.037,0.034,0.034,0.031,0.037,0.034,0.044
309,05-21,0.048,0.047,0.045,0.047,0.048,0.047,0.047,0.045,0.049,0.054,0.048,0.051,0.050,0.044,0.045,0.050,0.044,0.049
310,05-20,0.045,0.046,0.047,0.045,0.046,0.045,0.041,0.044,0.045,0.043,0.043,0.048,0.047,0.043,0.040,0.040,0.041,0.050
311,05-19,0.044,0.044,0.047,0.042,0.046,0.039,0.044,0.047,0.043,0.044,0.046,0.049,0.042,0.040,0.041,0.045,0.041,0.050
312,05-18,0.039,0.033,0.040,0.040,0.033,0.046,0.038,0.034,0.034,0.041,0.040,0.041,0.042,0.044,0.036,0.042,0.037,0.055
313,05-17,0.050,0.044,0.048,0.059,0.043,0.052,0.048,0.052,0.046,0.059,0.051,0.053,0.053,0.047,0.046,0.060,0.048,0.054
314,05-16,0.066,0.074,0.068,0.075,0.078,0.058,0.056,0.059,0.070,0.076,0.062,0.070,0.061,0.056,0.055,0.066,0.066,0.058
